fifa,version,date
23,230025,06/04/23
23,230026,12/04/23
23,230027,14/04/23
23,230028,17/04/23
23,230029,21/04/23
23,230030,25/04/23
23,230031,27/04/23
23,230032,05/05/23
23,230033,11/05/23
23,230034,16/05/23
23,230035,24/05/23
23,230036,26/05/23
23,230037,05/06/23
23,230038,07/06/23
23,230039,12/06/23
23,230040,19/06/23
23,230041,27/06/23
23,230042,05/07/23
23,230043,10/07/23
23,230044,13/07/23
23,230045,17/07/23
23,230046,20/07/23
23,230047,24/07/23
23,230048,01/08/23
23,230049,03/08/23
23,230050,11/08/23
23,230051,16/08/23
23,230052,24/08/23
23,230053,08/09/23
23,230054,11/09/23
22,220001,16/08/21
22,220002,23/09/21
22,220003,25/09/21
22,220004,27/09/21
22,220005,28/09/21
22,220006,01/10/21
22,220007,14/10/21
22,220008,20/10/21
22,220009,22/10/21
22,220010,27/10/21
22,220011,28/10/21
22,220012,05/11/21
22,220013,09/11/21
22,220014,22/11/21
22,220015,23/11/21
22,220016,01/12/21
22,220017,03/12/21
22,220018,07/12/21
22,220019,09/12/21
22,220020,13/12/21
22,220021,16/12/21
22,220022,20/12/21
22,220023,11/01/22
22,220024,13/01/22
22,220025,18/01/22
22,220026,21/01/22
22,220027,24/01/22
22,220028,27/01/22
22,220029,01/02/22
22,220030,03/02/22
22,220031,07/02/22
22,220032,10/02/22
22,220033,14/02/22
22,220034,18/02/22
22,220035,22/02/22
22,220036,01/03/22
22,220037,07/03/22
22,220038,10/03/22
22,220039,15/03/22
22,220040,22/03/22
22,220041,25/03/22
22,220042,30/03/22
22,220043,31/03/22
22,220044,13/04/22
22,220045,21/04/22
22,220046,26/04/22
22,220047,03/05/22
22,220048,06/05/22
22,220049,10/05/22
22,220050,12/05/22
22,220051,17/05/22
22,220052,19/05/22
22,220053,19/05/22
22,220054,27/05/22
22,220055,01/06/22
22,220056,02/06/22
22,220057,13/06/22
22,220058,16/06/22
22,220059,21/06/22
22,220060,30/06/22
22,220061,06/07/22
22,220062,07/07/22
22,220063,12/07/22
22,220064,18/07/22
22,220065,21/07/22
22,220066,26/07/22
22,220067,09/08/22
22,220068,15/08/22
22,220069,18/08/22
21,210001,24/08/20
21,210002,23/09/20
21,210003,01/10/20
21,210004,05/10/20
21,210005,09/10/20
21,210006,16/10/20
21,210007,27/10/20
21,210008,29/10/20
21,210009,04/11/20
21,210010,06/11/20
21,210011,13/11/20
21,210012,17/11/20
21,210013,20/11/20
21,210014,27/11/20
21,210015,28/11/20
21,210016,04/12/20
21,210017,10/12/20
21,210018,11/12/20
21,210019,06/01/21
21,210020,11/01/21
21,210021,15/01/21
21,210022,19/01/21
21,210023,22/01/21
21,210024,26/01/21
21,210025,29/01/21
21,210026,05/02/21
21,210027,18/02/21
21,210028,19/02/21
21,210029,04/03/21
21,210030,06/03/21
21,210031,10/03/21
21,210032,12/03/21
21,210033,19/03/21
21,210034,26/03/21
21,210035,30/03/21
21,210036,12/04/21
21,210037,13/04/21
21,210038,16/04/21
21,210039,20/04/21
21,210040,23/04/21
21,210041,18/05/21
21,210042,27/05/21
21,210043,11/06/21
21,210044,15/06/21
21,210045,18/06/21
21,210046,22/06/21
21,210047,30/06/21
21,210048,05/07/21
21,210049,07/07/21
21,210050,09/07/21
21,210051,12/07/21
21,210052,15/07/21
21,210053,19/07/21
21,210054,23/07/21
21,210055,27/07/21
21,210056,30/07/21
21,210057,04/08/21
21,210058,06/08/21
21,210059,27/08/21
21,210060,30/08/21
21,210061,02/09/21
21,210062,17/09/21
21,210063,21/09/21
21,210064,25/09/21
